posting_date,transaction_date,description,merchant_category,type,amount,running_balance,reference_id,channel
2026-06-18,2026-06-18,SHELL OIL  NAPA CA,Auto/Fuel,debit,-71.30,20781.77,POS0093770,POS
2026-06-19,2026-06-19,HERTZ  TOLLS & FEES,Travel/Lodging,debit,-38.75,20743.02,POS0093880,POS
2026-06-20,2026-06-20,WHOLE FOODS MKT #1042 CHICAGO IL,Groceries,debit,-176.55,20566.47,POS0093990,POS
2026-06-22,2026-06-22,MASTERCLASS  ANNUAL/12,Digital Subscriptions,debit,-15.00,20551.47,AXH8834620,ACH
2026-06-22,2026-06-22,SOULCYCLE  W LOOP,Health/Fitness,debit,-36.00,20515.47,POS0094120,POS
2026-06-23,2026-06-23,DELTA AIR LINES  ORD-JFK,Travel/Airlines,debit,-58.00,20457.47,POS0094230,POS
2026-06-23,2026-06-23,GRUBHUB  RPM STEAK,Restaurants,debit,-97.55,20359.92,POS0094240,POS
2026-06-24,2026-06-24,ATM WITHDRAWAL  LAKESHORE 200 W MADISON,ATM/Cash,debit,-300.00,20059.92,ATM0055,ATM
2026-06-25,2026-06-25,TARGET  T-2210 CHICAGO IL,Retail,debit,-88.21,19971.71,POS0094480,POS
2026-06-25,2026-06-25,YOUTUBE PREMIUM  FAMILY,Digital Subscriptions,debit,-22.99,19948.72,AXH8835110,ACH
2026-06-26,2026-06-26,ZIPCAR  MEMBERSHIP,Digital Subscriptions,debit,-9.00,19939.72,AXH8835140,ACH
2026-06-26,2026-06-26,MARIANO'S #8521 CHICAGO IL,Groceries,debit,-142.83,19796.89,POS0094620,POS
2026-06-27,2026-06-27,UBER  *TRIP 9921,Rideshare,debit,-24.60,19772.29,POS0094710,POS
2026-06-27,2026-06-27,RH ROOFTOP  RESTAURANT,Restaurants,debit,-158.44,19613.85,POS0094720,POS
2026-06-29,2026-06-29,PORSCHE GOLD COAST  SERVICE DEP,Auto/Fuel,debit,-420.00,19193.85,POS0094880,POS
2026-06-29,2026-06-29,WHOLE FOODS MKT #1042 CHICAGO IL,Groceries,debit,-201.14,18992.71,POS0094890,POS
2026-06-30,2026-06-30,MERIDIAN STRATEGY PARTNERS  PAYROLL,Payroll,credit,5180.00,24172.71,DEP4400115,ACH
2026-06-30,2026-06-30,HALCYON ADVISORY GRP  PAYROLL,Payroll,credit,4470.00,28642.71,DEP4400121,ACH
2026-06-30,2026-06-30,INTEREST PAID  DEPOSIT ACCT,Interest,credit,1.19,28643.90,INT0630,INT
